market,ticker,security_id,name,live_status,identity_status,identity_same_name,identity_claimants,identity_incumbent_id,identity_incumbent_name,identity_reason,monitoring_eligible,coverage_status
UK,AGVI,SEDOL:BPJMQ25,Aberforth Geared Value & Income Trust,live,conflict,True,2,SEDOL:BPJMQ36,Aberforth Geared Value & Income Trust,"ticker AGVI claimed by 2 LIVE securities with the SAME name - probably one company's share-class or SEDOL vintages, but which row the quote belongs to is still unsettled - SEDOL:BPJMQ36 (Aberforth Geared Value & Income Trust, to 2026-07)",True,RED
UK,AGVI,SEDOL:BPJMQ36,Aberforth Geared Value & Income Trust,live,conflict,True,2,SEDOL:BPJMQ36,Aberforth Geared Value & Income Trust,"ticker AGVI claimed by 2 LIVE securities with the SAME name - probably one company's share-class or SEDOL vintages, but which row the quote belongs to is still unsettled - SEDOL:BPJMQ25 (Aberforth Geared Value & Income Trust, to 2026-07)",False,EXCLUDED
UK,EJFI,SEDOL:BDG12N4,EJF Investments,live_stale_nav,conflict,True,2,SEDOL:BF0D1M2,EJF Investments,"ticker EJFI claimed by 2 LIVE securities with the SAME name - probably one company's share-class or SEDOL vintages, but which row the quote belongs to is still unsettled - SEDOL:BF0D1M2 (EJF Investments, to 2026-07)",False,EXCLUDED
UK,EJFI,SEDOL:BF0D1M2,EJF Investments,live_stale_nav,conflict,True,2,SEDOL:BF0D1M2,EJF Investments,"ticker EJFI claimed by 2 LIVE securities with the SAME name - probably one company's share-class or SEDOL vintages, but which row the quote belongs to is still unsettled - SEDOL:BDG12N4 (EJF Investments, to 2022-10)",True,RED
UK,JIGI,SEDOL:B1G3N11,JPMorgan Income & Growth,live,conflict,False,2,SEDOL:345035,JPMorgan India Growth & Income,"ticker JIGI claimed by 2 LIVE securities with DIFFERENT names - a reused ticker; pricing the wrong one staples another company's quote to this fund - SEDOL:345035 (JPMorgan India Growth & Income, to 2026-07)",False,EXCLUDED
UK,JIGI,SEDOL:345035,JPMorgan India Growth & Income,live,conflict,False,2,SEDOL:345035,JPMorgan India Growth & Income,"ticker JIGI claimed by 2 LIVE securities with DIFFERENT names - a reused ticker; pricing the wrong one staples another company's quote to this fund - SEDOL:B1G3N11 (JPMorgan Income & Growth, to 2016-10)",True,RED
UK,NBPE,SEDOL:BD0FRW6,NB Private Equity Partners,delisted,conflict,False,3,SEDOL:B1ZBD49,Neuberger Private Equity Partners,"ticker NBPE claimed by 2 LIVE securities with DIFFERENT names - a reused ticker; pricing the wrong one staples another company's quote to this fund - SEDOL:BD96PR1 (NB Private Equity Partners, to 2024-09), SEDOL:B1ZBD49 (Neuberger Private Equity Partners, to 2026-07)",False,EXCLUDED
UK,NBPE,SEDOL:BD96PR1,NB Private Equity Partners,live_stale_nav,conflict,False,3,SEDOL:B1ZBD49,Neuberger Private Equity Partners,"ticker NBPE claimed by 2 LIVE securities with DIFFERENT names - a reused ticker; pricing the wrong one staples another company's quote to this fund - SEDOL:B1ZBD49 (Neuberger Private Equity Partners, to 2026-07)",False,EXCLUDED
UK,NBPE,SEDOL:B1ZBD49,Neuberger Private Equity Partners,live,conflict,False,3,SEDOL:B1ZBD49,Neuberger Private Equity Partners,"ticker NBPE claimed by 2 LIVE securities with DIFFERENT names - a reused ticker; pricing the wrong one staples another company's quote to this fund - SEDOL:BD96PR1 (NB Private Equity Partners, to 2024-09)",True,RED
UK,PCGH,SEDOL:B6832P1,Polar Capital Global Healthcare,live,conflict,True,2,SEDOL:B6832P1,Polar Capital Global Healthcare,"ticker PCGH claimed by 2 LIVE securities with the SAME name - probably one company's share-class or SEDOL vintages, but which row the quote belongs to is still unsettled - SEDOL:BDHXP96 (Polar Capital Global Healthcare, to 2024-05)",True,RED
UK,PCGH,SEDOL:BDHXP96,Polar Capital Global Healthcare,live,conflict,True,2,SEDOL:B6832P1,Polar Capital Global Healthcare,"ticker PCGH claimed by 2 LIVE securities with the SAME name - probably one company's share-class or SEDOL vintages, but which row the quote belongs to is still unsettled - SEDOL:B6832P1 (Polar Capital Global Healthcare, to 2026-07)",False,EXCLUDED
UK,PMGR,SEDOL:3353790,Premier Miton Global Renewables,live_stale_nav,conflict,True,2,SEDOL:BNG43G3,Premier Miton Global Renewables,"ticker PMGR claimed by 2 LIVE securities with the SAME name - probably one company's share-class or SEDOL vintages, but which row the quote belongs to is still unsettled - SEDOL:BNG43G3 (Premier Miton Global Renewables, to 2025-11)",True,RED
